"QK_EDI","QK_QUDT","dimVec","dimensionVector","s_EDI","s_QUDT"
"AmountOfSubstanceConcentrationRate","CatalyticActivityConcentration","A1E0L-3I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A1E0L-3I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AmountOfSubstanceConcentrationRate","http://qudt.org/vocab/quantitykind/CatalyticActivityConcentration"
"AmountOfSubstanceMassSpecificRate","BiogeochemicalRate","A1E0L0I0M-1H0T-1D0","http://qudt.org/vocab/dimensionvector/A1E0L0I0M-1H0T-1D0","http://qudt.org/vocab/quantitykind/AmountOfSubstanceMassSpecificRate","http://qudt.org/vocab/quantitykind/BiogeochemicalRate"
"AmountOfSubstancePerAreaTime","MolarFluxDensity","A1E0L-2I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A1E0L-2I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AmountOfSubstancePerAreaTime","http://qudt.org/vocab/quantitykind/MolarFluxDensity"
"AmountOfSubstancePerAreaTime","PhotosyntheticPhotonFluxDensity","A1E0L-2I0M0H0T-1D0","http://qudt.org/vocab/dimensionvector/A1E0L-2I0M0H0T-1D0","http://qudt.org/vocab/quantitykind/AmountOfSubstancePerAreaTime","http://qudt.org/vocab/quantitykind/PhotosyntheticPhotonFluxDensity"
"AngleTime","ActionTime","A0E0L0I0M0H0T1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T1D0","http://qudt.org/vocab/quantitykind/AngleTime","http://qudt.org/vocab/quantitykind/ActionTime"
"AngleTime","Adaptation","A0E0L0I0M0H0T1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T1D0","http://qudt.org/vocab/quantitykind/AngleTime","http://qudt.org/vocab/quantitykind/Adaptation"
"AngleTime","AverageSpecificImpulse","A0E0L0I0M0H0T1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T1D0","http://qudt.org/vocab/quantitykind/AngleTime","http://qudt.org/vocab/quantitykind/AverageSpecificImpulse"
"AngleTime","BiodegredationHalfLife","A0E0L0I0M0H0T1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T1D0","http://qudt.org/vocab/quantitykind/AngleTime","http://qudt.org/vocab/quantitykind/BiodegredationHalfLife"
"AngleTime","BurnTime","A0E0L0I0M0H0T1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T1D0","http://qudt.org/vocab/quantitykind/AngleTime","http://qudt.org/vocab/quantitykind/BurnTime"
"AngleTime","CarrierLifetime","A0E0L0I0M0H0T1D0","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T1D0","http://qudt.org/vocab/quantitykind/AngleTime","http://qudt.org/vocab/quantitykind/CarrierLifetime"
