"QK_EDI","Num_QUDT_QKs"
"AmountOfSubstanceConcentrationRate",1
"AmountOfSubstanceMassSpecificRate",1
"AmountOfSubstancePerAreaTime",2
"AngleTime",24
"AreaDensity",6
"AreaMassRate",7
"AreaPerAreaTime",41
"AreaPerCount",18
"AreaPerCubicTime",7
"AreaPerVolume",22
"EnergyFluxDensity",10
"LengthPerArea",22
"LinearEnergyDensity",26
"LinearMassRate",3
"MassConcentrationRate",2
"MassFlowPerPressure",1
"MassFluxDensity",7
"MassPerCount",33
"MassRatio",232
"MassSpecificRate",41
"MassTransportCoefficient",4
"MolarConcentration",12
"MolarConcentrationMass",3
"MolarFlowRate",4
"MolarFluxDensity",2
"MolarMassRate",1
"MolarRatio",232
"MolarVolumetricRate",1
"PhotonFluxDensity",2
"PhotosyntheticPhotonFluxDensity",2
"SpecificRadioactivity",3
"SpecificVolumeLength",6
"TimeRatio",232
"VolumeMassRate",1
"VolumePerArea",65
"VolumetricFlowRatePerLength",9
"VolumetricFluxDensity",32
