record_id,unit_expression,measurement_context,qualifier_definition,conversion_definition,conversion_source,source_variable,dataset_id,variable_name,variable_definition,proposed_qname,proposed_quantity_kind,preferred_label,preferred_symbol,known_conversion,reference_url,notes,source_line,intake_status,intake_issues
unit-0001,KiloM-PER-KiloM2,,,,,,,,,,,,,,,,2,ready-for-research,
unit-0002,M2-PER-M3,,,,,,,,,,,,,,,,3,ready-for-research,
unit-0003,KiloJ-PER-M2,,,,,,,,,,,,,,,,4,ready-for-research,
unit-0004,W-HR-PER-M2,,,,,,,,,,,,,,,,5,ready-for-research,
unit-0005,KiloJ-PER-M2-DAY,,,,,,,,,,,,,,,,6,ready-for-research,
unit-0006,MegaJ-PER-M2-YR,,,,,,,,,,,,,,,,7,ready-for-research,
unit-0007,MicroMOL-PER-L-DAY,,,,,,,,,,,,,,,,8,ready-for-research,
unit-0008,GM-PER-YR,,,,,,,,,,,,,,,,9,ready-for-research,
unit-0009,M2-PER-DAY,,,,,,,,,,,,,,,,10,ready-for-research,
unit-0010,KiloM3,,,,,,,,,,,,,,,,11,ready-for-research,
unit-0011,GM-PER-NUM,,,,,,,,,,,,,,,,12,ready-for-research,
unit-0012,GigaGM,,,,,,,,,,,,,,,,13,ready-for-research,
unit-0013,MI_US-PER-SEC,,,,,,,,,,,,,,,,14,ready-for-research,
unit-0014,M3-PER-M2-DAY,,,,,,,,,,,,,,,,15,ready-for-research,
unit-0015,CORD-PER-AC,,,,,,,,,,,,,,,,16,ready-for-research,
unit-0016,FT3-PER-AC,,,,,,,,,,,,,,,,17,ready-for-research,
unit-0017,MegaL-PER-KiloM2,,,,,,,,,,,,,,,,18,ready-for-research,
unit-0018,MicroM3-PER-MilliM2,,,,,,,,,,,,,,,,19,ready-for-research,
unit-0019,MilliM-PER-NUM,,,,,,,,,,,,,,,,20,ready-for-research,
unit-0020,MilliGM-PER-L-HR,,,,,,,,,,,,,,,,21,ready-for-research,
unit-0021,TON_US-PER-AC,,,,,,,,,,,,,,,,22,ready-for-research,
unit-0022,BQ-PER-GM,,,,,,,,,,,,,,,,23,ready-for-research,
unit-0023,GM-PER-HA-DAY,,,,,,,,,,,,,,,,24,ready-for-research,
unit-0024,MicroGM-PER-M2,,,,,,,,,,,,,,,,25,ready-for-research,
unit-0025,NanoGM-PER-GM-HR,,,,,,,,,,,,,,,,26,ready-for-research,
unit-0026,MicroGM-PER-KiloGM-HR,,,,,,,,,,,,,,,,27,ready-for-research,
unit-0027,NUM-PER-L-MIN,,,,,,,,,,,,,,,,28,ready-for-research,
unit-0028,BQ-PER-MilliL,,,,,,,,,,,,,,,,29,ready-for-research,
unit-0029,KiloGM-PER-KiloM2-YR,,,,,,,,,,,,,,,,30,ready-for-research,
unit-0030,KiloGM-PER-M2-YR,,,,,,,,,,,,,,,,31,ready-for-research,
unit-0031,MilliGM-PER-KiloGM-MO,,,,,,,,,,,,,,,,32,ready-for-research,
unit-0032,GM-PER-GM-HR,,,,,,,,,,,,,,,,33,ready-for-research,
unit-0033,GM-PER-HA-HR,,,,,,,,,,,,,,,,34,ready-for-research,
unit-0034,KiloGM-PER-HA-MO,,,,,,,,,,,,,,,,35,ready-for-research,
unit-0035,MicroGM-PER-KiloGM-DAY,,,,,,,,,,,,,,,,36,ready-for-research,
unit-0036,MilliGM-PER-L-SEC,,,,,,,,,,,,,,,,37,ready-for-research,
unit-0037,NanoGM-PER-M2-HR,,,,,,,,,,,,,,,,38,ready-for-research,
unit-0038,NUM-PER-NanoGM,,,,,,,,,,,,,,,,39,ready-for-research,
unit-0039,GM-PER-M2-MO,,,,,,,,,,,,,,,,40,ready-for-research,
unit-0040,MilliGM-PER-M2-MIN,,,,,,,,,,,,,,,,41,ready-for-research,
unit-0041,MilliGM-PER-MilliL-DAY,,,,,,,,,,,,,,,,42,ready-for-research,
unit-0042,GM-PER-CM3,,,,,,,,,,,,,,,,43,ready-for-research,
unit-0043,PPM-PER-SEC,,,,,,,,,,,,,,,,44,ready-for-research,
unit-0044,MilliGM-PER-GM-DAY,,,,,,,,,,,,,,,,45,ready-for-research,
unit-0045,MilliGM-PER-KiloGM-HR,,,,,,,,,,,,,,,,46,ready-for-research,
unit-0046,MilliMOL-PER-SEC,,,,,,,,,,,,,,,,47,ready-for-research,
unit-0047,NanoGM-PER-GM-DAY,,,,,,,,,,,,,,,,48,ready-for-research,
unit-0048,NanoMOL-PER-GM-DAY,,,,,,,,,,,,,,,,49,ready-for-research,
unit-0049,NanoMOL-PER-MilliL,,,,,,,,,,,,,,,,50,ready-for-research,
unit-0050,MicroGM-PER-MilliL-DAY,,,,,,,,,,,,,,,,51,ready-for-research,
unit-0051,MicroGM-PER-MilliM2,,,,,,,,,,,,,,,,52,ready-for-research,
unit-0052,MicroMOL-PER-MOLE,,,,,,,,,,,,,,,,53,ready-for-research,
unit-0053,BQ-PER-MilliGM,,,,,,,,,,,,,,,,54,ready-for-research,
unit-0054,MicroM3-PER-L,,,,,,,,,,,,,,,,55,ready-for-research,
unit-0055,MicroMOL-PER-GM-DAY,,,,,,,,,,,,,,,,56,ready-for-research,
unit-0056,MicroMOL-PER-MilliGM,,,,,,,,,,,,,,,,57,ready-for-research,
unit-0057,MilliGM-PER-GM-MO,,,,,,,,,,,,,,,,58,ready-for-research,
unit-0058,GM-PER-HA-YR,,,,,,,,,,,,,,,,59,ready-for-research,
unit-0059,GM-PER-M3-DAY,,,,,,,,,,,,,,,,60,ready-for-research,
unit-0060,GM-PER-M3-YR,,,,,,,,,,,,,,,,61,ready-for-research,
unit-0061,MicroBQ-PER-GM,,,,,,,,,,,,,,,,62,ready-for-research,
unit-0062,MicroGM-PER-GM-MIN,,,,,,,,,,,,,,,,63,ready-for-research,
unit-0063,MicroMOL-PER-M3,,,,,,,,,,,,,,,,64,ready-for-research,
unit-0064,MicroMOL-PER-HR-MilliGM,,,,,,,,,,,,,,,,65,ready-for-research,
unit-0065,MilliL-PER-MilliL,,,,,,,,,,,,,,,,66,ready-for-research,
unit-0066,MOL-PER-DAY,,,,,,,,,,,,,,,,67,ready-for-research,
unit-0067,NanoMOL-PER-MIN,,,,,,,,,,,,,,,,68,ready-for-research,
unit-0068,NanoMOL-PER-MOL,,,,,,,,,,,,,,,,69,ready-for-research,
unit-0069,NUM-PER-GM-MIN,,,,,,,,,,,,,,,,70,ready-for-research,
unit-0070,NUM-PER-KiloM,,,,,,,,,,,,,,,,71,ready-for-research,
unit-0071,PicoMOL-PER-GM,,,,,,,,,,,,,,,,72,ready-for-research,
unit-0072,PicoMOL-PER-MilliGM-MIN,,,,,,,,,,,,,,,,73,ready-for-research,
unit-0073,CentiM3-PER-CentiM3,,,,,,,,,,,,,,,,74,ready-for-research,
unit-0074,GM-PER-HectoGM,,,,,,,,,,,,,,,,75,ready-for-research,
unit-0075,MilliGM-PER-MilliGM-DAY,,,,,,,,,,,,,,,,76,ready-for-research,
unit-0076,MilliMOL-PER-M3-MIN,,,,,,,,,,,,,,,,77,ready-for-research,
unit-0077,MilliMOL-PER-MOL-SEC,,,,,,,,,,,,,,,,78,ready-for-research,
unit-0078,MOL-PER-L-ATM,,,,,,,,,,,,,,,,79,ready-for-research,
unit-0079,OZ-PER-AC,,,,,,,,,,,,,,,,80,ready-for-research,
unit-0080,PPM-PER-HR,,,,,,,,,,,,,,,,81,ready-for-research,
unit-0081,PPM-PER-MIN,,,,,,,,,,,,,,,,82,ready-for-research,
unit-0082,TON_US-PER-AC-FT,,,,,,,,,,,,,,,,83,ready-for-research,
unit-0083,TON_US-PER-HA,,,,,,,,,,,,,,,,84,ready-for-research,
unit-0084,TONNE-PER-AC,,,,,,,,,,,,,,,,85,ready-for-research,
