"unit","ediScopeUses","ediPackageUses","ediTotalUses","neonScopeUses","neonPackageUses","neonTotalUses","dataoneTotalUses","orgList","numOrgs","totalScopes","totalPackages","TotalUses"
"dimensionless",33,3078,25265,1,1,480,46786,"EDI NEON DataOne",3,34,3079,72531
"number",30,2441,20586,15,59,422,11006,"EDI NEON DataOne",3,45,2500,32014
"percent",26,1599,11280,16,56,11299,3912,"EDI NEON DataOne",3,42,1655,26491
"celsius",33,2126,14154,10,28,733,6389,"EDI NEON DataOne",3,43,2154,21276
"meter",31,2292,7783,20,67,448,3418,"EDI NEON DataOne",3,51,2359,11649
"millimeter",32,1040,3546,6,6,26,5964,"EDI NEON DataOne",3,38,1046,9536
"degree",30,1817,5465,7,10,39,2753,"EDI NEON DataOne",3,37,1827,8257
"centimeter",29,1350,4465,8,11,56,2059,"EDI NEON DataOne",3,37,1361,6580
"gram",27,777,2814,10,19,31,1554,"EDI NEON DataOne",3,37,796,4399
"milligramsperliter",22,382,2347,4,12,19,1006,"EDI NEON DataOne",3,26,394,3372
"meterspersecond",23,312,2036,4,4,73,1159,"EDI NEON DataOne",3,27,316,3268
"none",5,408,2201,9,12,72,299,"EDI NEON DataOne",3,14,420,2572
"nominalday",18,886,1497,5,7,7,745,"EDI NEON DataOne",3,23,893,2249
"volt",23,355,955,1,1,4,901,"EDI NEON DataOne",3,24,356,1860
"microgramsperliter",17,189,886,1,1,6,503,"EDI NEON DataOne",3,18,190,1395
"gramspersquaremeter",20,219,906,3,3,6,424,"EDI NEON DataOne",3,23,222,1336
"hour",17,458,495,3,3,3,528,"EDI NEON DataOne",3,20,461,1026
"kilopascal",19,159,748,5,5,36,189,"EDI NEON DataOne",3,24,164,973
"squaremeter",20,252,475,6,14,15,334,"EDI NEON DataOne",3,26,266,824
"second",14,52,153,2,2,3,605,"EDI NEON DataOne",3,16,54,761
"partspermillion",15,63,422,1,1,150,118,"EDI NEON DataOne",3,16,64,690
"minute",18,79,112,2,2,2,538,"EDI NEON DataOne",3,20,81,652
"day",17,72,108,1,1,1,474,"EDI NEON DataOne",3,18,73,583
"milliliter",24,122,249,5,15,38,118,"EDI NEON DataOne",3,29,137,405
"nominalhour",8,214,271,1,1,1,113,"EDI NEON DataOne",3,9,215,385
"milligramsperkilogram",6,72,189,2,2,21,160,"EDI NEON DataOne",3,8,74,370
"cubicmeter",12,69,206,2,2,3,133,"EDI NEON DataOne",3,14,71,342
