"qudtUnit","unit","qudtUri","pseudounit","TotalUses"
"UNITLESS","dimensionless","http://qudt.org/vocab/unit/UNITLESS","dimensionless",72533
"NUM","number","http://qudt.org/vocab/unit/NUM","number",32033
"M-PER-SEC","meters per second","http://qudt.org/vocab/unit/M-PER-SEC","meterpersecond",32026
"PERCENT","percent","http://qudt.org/vocab/unit/PERCENT","percent",27715
"DEG_C","celsius","http://qudt.org/vocab/unit/DEG_C","celsius",21380
"M","meter","http://qudt.org/vocab/unit/M","meter",13131
"MilliM","millimeter","http://qudt.org/vocab/unit/MilliM","millimeter",9903
"DEG","degree","http://qudt.org/vocab/unit/DEG","degree",8848
"CentiM","centimeter","http://qudt.org/vocab/unit/CentiM","centimeter",7093
"MilliGM-PER-L","milligramsperliter","http://qudt.org/vocab/unit/MilliGM-PER-L","milligramperliter",5251
"UNITLESS","none","http://qudt.org/vocab/unit/UNITLESS","none",5233
"GM","gram","http://qudt.org/vocab/unit/GM","gram",4693
"GM-PER-M2","grampermetersquared","http://qudt.org/vocab/unit/GM-PER-M2","grampermeterquared",4113
"nominal-YR","nominalyear",NA,"nominalyear",2893
"W-PER-M2","wattpermetersquared","http://qudt.org/vocab/unit/W-PER-M2","wattpermeterquared",2782
"MicroGM-PER-L","microgramsperliter","http://qudt.org/vocab/unit/MicroGM-PER-L","microgramperliter",2699
"GM-PER-M2-DAY","grampermetersquaredperday","http://qudt.org/vocab/unit/GM-PER-M2-DAY","grampermeterquaredperday",2508
"MicroMOL-PER-L","micromoleperliter","http://qudt.org/vocab/unit/MicroMOL-PER-L","micromoleperliter",2454
"nominal-DAY","nominalday",NA,"nominalday",2249
"MicroMOL-PER-M2-SEC","micromolepermetersquaredpersecond","http://qudt.org/vocab/unit/MicroMOL-PER-M2-SEC","micromolepermeterquaredpersecond",2225
"HA","hectare","http://qudt.org/vocab/unit/HA","hectare",1963
"V","volt","http://qudt.org/vocab/unit/V","volt",1937
"KiloGM-PER-M3","kilogrampercubicmeter","http://qudt.org/vocab/unit/KiloGM-PER-M3","kilogrampercubicmeter",1800
"DeciBAR","decibar","http://qudt.org/vocab/unit/DeciBAR","decibar",1745
"S-PER-M","siemenspermeter","http://qudt.org/vocab/unit/S-PER-M","siemenspermeter",1687
"PPM","partspermillion","http://qudt.org/vocab/unit/PPM","partpermillion",1454
"GM-PER-M2","gramspersquaremeter","http://qudt.org/vocab/unit/GM-PER-M2","grampersquaremeter",1378
"nominal-MO","nominalmonth",NA,"nominalmonth",1183
"NUM-PER-M2","numberpermetersquared","http://qudt.org/vocab/unit/NUM-PER-M2","numberpermeterquared",1163
"DEG","decimal degrees","http://qudt.org/vocab/unit/DEG","decimaldegree",1074
"HR","hour","http://qudt.org/vocab/unit/HR","hour",1059
"KiloGM-PER-HA","kilogramsperhectare","http://qudt.org/vocab/unit/KiloGM-PER-HA","kilogramperhectare",1059
"DEG_C","degrees celsius","http://qudt.org/vocab/unit/DEG_C","degreecelsius",1058
"DEG_C","degreecelcius","http://qudt.org/vocab/unit/DEG_C","degreecelcius",1019
"KiloPA","kilopascal","http://qudt.org/vocab/unit/KiloPA","kilopascal",984
"M3-PER-M3","cubicmeterpercubicmeter","http://qudt.org/vocab/unit/M3-PER-M3","cubicmeterpercubicmeter",955
"GM-PER-M2-YR","grampermetersquaredperyear",NA,"grampermeterquaredperyear",954
"UNITLESS","unitless","http://qudt.org/vocab/unit/UNITLESS","unitless",903
"M2","squaremeter","http://qudt.org/vocab/unit/M2","squaremeter",893
"NUM","count","http://qudt.org/vocab/unit/NUM","count",886
"SEC","second","http://qudt.org/vocab/unit/SEC","second",869
"MicroGM-PER-GM","microgramspergram","http://qudt.org/vocab/unit/MicroGM-PER-GM","microgrampergram",860
"PERCENT","percentabbr.","http://qudt.org/vocab/unit/PERCENT","percentabbr.",850
"YR","year","http://qudt.org/vocab/unit/YR","year",831
"FRACTION","fraction","http://qudt.org/vocab/unit/FRACTION","fraction",811
"DEG_C","degc","http://qudt.org/vocab/unit/DEG_C","degc",805
"DeciS-PER-M","decisiemenspermeter","http://qudt.org/vocab/unit/DeciS-PER-M","decisiemenspermeter",782
"MilliGM-PER-GM","milligrampergram","http://qudt.org/vocab/unit/MilliGM-PER-GM","milligrampergram",762
"DAY","day","http://qudt.org/vocab/unit/DAY","day",736
"MilliGM-PER-KiloGM","milligramperkilogram","http://qudt.org/vocab/unit/MilliGM-PER-KiloGM","milligramperkilogram",697
"MIN","minute","http://qudt.org/vocab/unit/MIN","minute",691
"W-PER-M2","w/m^2","http://qudt.org/vocab/unit/W-PER-M2","wpermetersquared",661
"MicroS","microsiemens","http://qudt.org/vocab/unit/MicroS","microsiemens",635
"FT","foot","http://qudt.org/vocab/unit/FT","foot",622
"GM-PER-fourhundredth-M2","gramperfourhundredthmetersquared",NA,"gramperfourhundredthmeterquared",587
"IN","inches","http://qudt.org/vocab/unit/IN","inches",584
"PPTH","partperthousand","http://qudt.org/vocab/unit/PPTH","partperthousand",571
"MicroS-PER-CentiM","microsiemenspercentimeter","http://qudt.org/vocab/unit/MicroS-PER-CentiM","microsiemenspercentimeter",562
"M3-PER-SEC","metercubedpersecond","http://qudt.org/vocab/unit/M3-PER-SEC","metercubedpersecond",559
"microequivalent-PER-L","microequivalentperliter",NA,"microequivalentperliter",527
"CentiM3-PER-CentiM3","cubiccentimeterspercubiccentimeter","http://qudt.org/vocab/unit/CentiM3-PER-CentiM3","cubiccentimeterpercubiccentimeter",524
"KiloGM","kilogram","http://qudt.org/vocab/unit/KiloGM","kilogram",520
"na","na",NA,"na",511
"PSU","practicalsalinityunit","http://qudt.org/vocab/unit/PSU","practicalsalinityunit",511
"KiloGM-PER-soil","# kg/soil",NA,"#kilogrampersoil",500
"GM-PER-GM","grampergram","http://qudt.org/vocab/unit/GM-PER-GM","grampergram",494
"MilliGM","milligram","http://qudt.org/vocab/unit/MilliGM","milligram",459
"MO","month","http://qudt.org/vocab/unit/MO","month",459
"MilliBAR","millibar","http://qudt.org/vocab/unit/MilliBAR","millibar",449
"MicroS-PER-CentiM","microsiemenpercentimeter","http://qudt.org/vocab/unit/MicroS-PER-CentiM","microsiemenpercentimeter",443
"NUM-PER-HA","numberperhectare","http://qudt.org/vocab/unit/NUM-PER-HA","numberperhectare",440
"L-PER-SEC","literspersecond","http://qudt.org/vocab/unit/L-PER-SEC","literpersecond",433
"1","1",NA,"1",432
"NUM-PER-M3","numberpermetercubed","http://qudt.org/vocab/unit/NUM-PER-M3","numberpermetercubed",426
"MilliL","milliliter","http://qudt.org/vocab/unit/MilliL","milliliter",419
"GM-PER-HA","gramsperhectare",NA,"gramperhectare",407
"CentiM2","squarecentimeters","http://qudt.org/vocab/unit/CentiM2","squarecentimeter",388
"nominal-HR","nominalhour",NA,"nominalhour",385
"M3","cubicmeter","http://qudt.org/vocab/unit/M3","cubicmeter",371
"IN","inch","http://qudt.org/vocab/unit/IN","inch",369
"PPTH","permil","http://qudt.org/vocab/unit/PPTH","permil",365
"NUM-PER-L","numberperliter","http://qudt.org/vocab/unit/NUM-PER-L","numberperliter",360
"MilliMOL-PER-M2-SEC","millimolepermetersquaredpersecond","http://qudt.org/vocab/unit/MilliMOL-PER-M2-SEC","millimolepermeterquaredpersecond",358
"MI-PER-HR","mph","http://qudt.org/vocab/unit/MI-PER-HR","mileperhour",342
"YR","year (yyyy)","http://qudt.org/vocab/unit/YR","year(yyyy)",339
"nominal-MIN","nominalminute",NA,"nominalminute",337
"NanoMOL-e-PER-GM","nanomolepergram",NA,"nanomolepergram",328
"2","2",NA,"2",326
"pctarealcover","pct areal cover",NA,"pctarealcover",322
