"unit","qudtUri","TotalUses","pseudounit","qudtUnit"
"dimensionless","http://qudt.org/vocab/unit/UNITLESS",72533,"dimensionless","UNITLESS"
"number","http://qudt.org/vocab/unit/NUM",32025,"number","NUM"
"percent","http://qudt.org/vocab/unit/PERCENT",26544,"percent","PERCENT"
"meters per second","http://qudt.org/vocab/unit/M-PER-SEC",26423,"meterpersecond","M-PER-SEC"
"celsius","http://qudt.org/vocab/unit/DEG_C",21318,"celsius","DEG_C"
"meter","http://qudt.org/vocab/unit/M",11666,"meter","M"
"millimeter","http://qudt.org/vocab/unit/MilliM",9539,"millimeter","MilliM"
"degree","http://qudt.org/vocab/unit/DEG",8259,"degree","DEG"
"centimeter","http://qudt.org/vocab/unit/CentiM",6580,"centimeter","CentiM"
"none","http://qudt.org/vocab/unit/UNITLESS",5207,"none","UNITLESS"
"gram","http://qudt.org/vocab/unit/GM",4399,"gram","GM"
"grampermetersquared","http://qudt.org/vocab/unit/GM-PER-M2",3535,"grampermeterquared","GM-PER-M2"
"grampermetersquaredperday","http://qudt.org/vocab/unit/GM-PER-M2-DAY",2399,"grampermeterquaredperday","GM-PER-M2-DAY"
"wattpermetersquared","http://qudt.org/vocab/unit/W-PER-M2",2354,"wattpermeterquared","W-PER-M2"
"milligramsperliter","http://qudt.org/vocab/unit/MilliGM-PER-L",2354,"milligramperliter","MilliGM-PER-L"
"nominalyear",NA,2105,"nominalyear","nominal-YR"
"meterpersecond","http://qudt.org/vocab/unit/M-PER-SEC",2085,"meterpersecond","M-PER-SEC"
"meterspersecond","http://qudt.org/vocab/unit/M-PER-SEC",2037,"meterpersecond","M-PER-SEC"
"volt","http://qudt.org/vocab/unit/V",1928,"volt","V"
"hectare","http://qudt.org/vocab/unit/HA",1900,"hectare","HA"
"decibar","http://qudt.org/vocab/unit/DeciBAR",1745,"decibar","DeciBAR"
"micromolepermetersquaredpersecond","http://qudt.org/vocab/unit/MicroMOL-PER-M2-SEC",1634,"micromolepermeterquaredpersecond","MicroMOL-PER-M2-SEC"
"nominalday",NA,1497,"nominalday","nominal-DAY"
"micromoleperliter","http://qudt.org/vocab/unit/MicroMOL-PER-L",1467,"micromoleperliter","MicroMOL-PER-L"
"meters","http://qudt.org/vocab/unit/M",1417,"meter","M"
"kilogrampercubicmeter","http://qudt.org/vocab/unit/KiloGM-PER-M3",1373,"kilogrampercubicmeter","KiloGM-PER-M3"
"siemenspermeter","http://qudt.org/vocab/unit/S-PER-M",1331,"siemenspermeter","S-PER-M"
"meterspersecond","http://qudt.org/vocab/unit/M-PER-SEC",1232,"meterpersecond","M-PER-SEC"
"milligramperliter","http://qudt.org/vocab/unit/MilliGM-PER-L",1195,"milligramperliter","MilliGM-PER-L"
"hour","http://qudt.org/vocab/unit/HR",1027,"hour","HR"
"milligramsperliter","http://qudt.org/vocab/unit/MilliGM-PER-L",1025,"milligramperliter","MilliGM-PER-L"
"kilopascal","http://qudt.org/vocab/unit/KiloPA",978,"kilopascal","KiloPA"
"degreecelcius","http://qudt.org/vocab/unit/DEG_C",968,"degreecelcius","DEG_C"
"degrees celsius","http://qudt.org/vocab/unit/DEG_C",943,"degreecelsius","DEG_C"
"gramspersquaremeter","http://qudt.org/vocab/unit/GM-PER-M2",910,"grampersquaremeter","GM-PER-M2"
"microgramsperliter","http://qudt.org/vocab/unit/MicroGM-PER-L",896,"microgramperliter","MicroGM-PER-L"
"cubicmeterpercubicmeter","http://qudt.org/vocab/unit/M3-PER-M3",895,"cubicmeterpercubicmeter","M3-PER-M3"
"unitless","http://qudt.org/vocab/unit/UNITLESS",885,"unitless","UNITLESS"
"nominalmonth",NA,883,"nominalmonth","nominal-MO"
"count","http://qudt.org/vocab/unit/NUM",870,"count","NUM"
"percentabbr.","http://qudt.org/vocab/unit/PERCENT",850,"percentabbr.","PERCENT"
"numberpermetersquared","http://qudt.org/vocab/unit/NUM-PER-M2",838,"numberpermeterquared","NUM-PER-M2"
"fraction","http://qudt.org/vocab/unit/FRACTION",811,"fraction","FRACTION"
"nominalyear",NA,788,"nominalyear","nominal-YR"
"second","http://qudt.org/vocab/unit/SEC",762,"second","SEC"
"nominalday",NA,752,"nominalday","nominal-DAY"
"decisiemenspermeter","http://qudt.org/vocab/unit/DeciS-PER-M",731,"decisiemenspermeter","DeciS-PER-M"
"microgramperliter","http://qudt.org/vocab/unit/MicroGM-PER-L",716,"microgramperliter","MicroGM-PER-L"
"degc","http://qudt.org/vocab/unit/DEG_C",679,"degc","DEG_C"
"kilogramsperhectare","http://qudt.org/vocab/unit/KiloGM-PER-HA",671,"kilogramperhectare","KiloGM-PER-HA"
"minute","http://qudt.org/vocab/unit/MIN",653,"minute","MIN"
"year","http://qudt.org/vocab/unit/YR",638,"year","YR"
"microsiemens","http://qudt.org/vocab/unit/MicroS",635,"microsiemens","MicroS"
"day","http://qudt.org/vocab/unit/DAY",591,"day","DAY"
"degrees","http://qudt.org/vocab/unit/DEG",584,"degree","DEG"
"inches","http://qudt.org/vocab/unit/IN",582,"inches","IN"
"micromolepermetersquaredpersecond","http://qudt.org/vocab/unit/MicroMOL-PER-M2-SEC",549,"micromolepermeterquaredpersecond","MicroMOL-PER-M2-SEC"
"metercubedpersecond","http://qudt.org/vocab/unit/M3-PER-SEC",524,"metercubedpersecond","M3-PER-SEC"
"percentage","http://qudt.org/vocab/unit/PERCENT",520,"percent","PERCENT"
"microgramsperliter","http://qudt.org/vocab/unit/MicroGM-PER-L",509,"microgramperliter","MicroGM-PER-L"
"kilogram","http://qudt.org/vocab/unit/KiloGM",502,"kilogram","KiloGM"
"# kg/soil",NA,500,"#kilogrampersoil","KiloGM-PER-soil"
"decimal degrees","http://qudt.org/vocab/unit/DEG",495,"decimaldegree","DEG"
"na",NA,477,"na","na"
"squaremeter","http://qudt.org/vocab/unit/M2",475,"squaremeter","M2"
"partspermillion","http://qudt.org/vocab/unit/PPM",475,"partpermillion","PPM"
"month","http://qudt.org/vocab/unit/MO",457,"month","MO"
"practicalsalinityunit","http://qudt.org/vocab/unit/PSU",454,"practicalsalinityunit","PSU"
"foot","http://qudt.org/vocab/unit/FT",452,"foot","FT"
"milligram","http://qudt.org/vocab/unit/MilliGM",451,"milligram","MilliGM"
"millibar","http://qudt.org/vocab/unit/MilliBAR",448,"millibar","MilliBAR"
"microequivalentperliter",NA,433,"microequivalentperliter","microequivalent-PER-L"
"microgramperliter","http://qudt.org/vocab/unit/MicroGM-PER-L",430,"microgramperliter","MicroGM-PER-L"
"gramspersquaremeter","http://qudt.org/vocab/unit/GM-PER-M2",430,"grampersquaremeter","GM-PER-M2"
"wattpermetersquared","http://qudt.org/vocab/unit/W-PER-M2",428,"wattpermeterquared","W-PER-M2"
"1",NA,427,"1","1"
"milligramperliter","http://qudt.org/vocab/unit/MilliGM-PER-L",423,"milligramperliter","MilliGM-PER-L"
"micromoleperliter","http://qudt.org/vocab/unit/MicroMOL-PER-L",417,"micromoleperliter","MicroMOL-PER-L"
"grampermetersquared","http://qudt.org/vocab/unit/GM-PER-M2",409,"grampermeterquared","GM-PER-M2"
"kilogrampercubicmeter","http://qudt.org/vocab/unit/KiloGM-PER-M3",406,"kilogrampercubicmeter","KiloGM-PER-M3"
"gramsperhectare",NA,406,"gramperhectare","GM-PER-HA"
"milliliter","http://qudt.org/vocab/unit/MilliL",405,"milliliter","MilliL"
"cubiccentimeterspercubiccentimeter","http://qudt.org/vocab/unit/CentiM3-PER-CentiM3",400,"cubiccentimeterpercubiccentimeter","CentiM3-PER-CentiM3"
"gramperfourhundredthmetersquared",NA,390,"gramperfourhundredthmeterquared","GM-PER-fourhundredth-M2"
"inch","http://qudt.org/vocab/unit/IN",369,"inch","IN"
"microgramspergram","http://qudt.org/vocab/unit/MicroGM-PER-GM",359,"microgrampergram","MicroGM-PER-GM"
"numberpermetercubed","http://qudt.org/vocab/unit/NUM-PER-M3",357,"numberpermetercubed","NUM-PER-M3"
"siemenspermeter","http://qudt.org/vocab/unit/S-PER-M",356,"siemenspermeter","S-PER-M"
"squaremeter","http://qudt.org/vocab/unit/M2",349,"squaremeter","M2"
"milligrampergram","http://qudt.org/vocab/unit/MilliGM-PER-GM",343,"milligrampergram","MilliGM-PER-GM"
"permil","http://qudt.org/vocab/unit/PPTH",339,"permil","PPTH"
"microsiemenpercentimeter","http://qudt.org/vocab/unit/MicroS-PER-CentiM",333,"microsiemenpercentimeter","MicroS-PER-CentiM"
"parts per million","http://qudt.org/vocab/unit/PPM",328,"partpermillion","PPM"
"numberpermetersquared","http://qudt.org/vocab/unit/NUM-PER-M2",325,"numberpermeterquared","NUM-PER-M2"
"centimeters","http://qudt.org/vocab/unit/CentiM",324,"centimeter","CentiM"
"2",NA,323,"2","2"
"pct areal cover",NA,322,"pctarealcover","pctarealcover"
"w/m^2","http://qudt.org/vocab/unit/W-PER-M2",315,"wpermetersquared","W-PER-M2"
"grampermetersquaredperyear",NA,311,"grampermeterquaredperyear","GM-PER-M2-YR"
"grampergram","http://qudt.org/vocab/unit/GM-PER-GM",309,"grampergram","GM-PER-GM"
"0",NA,305,"0","0"
"nominalmonth",NA,299,"nominalmonth","nominal-MO"
"micrometer","http://qudt.org/vocab/unit/MicroM",296,"micrometer","MicroM"
"microgrampergram","http://qudt.org/vocab/unit/MicroGM-PER-GM",289,"microgrampergram","MicroGM-PER-GM"
"millimolepermetersquaredpersecond","http://qudt.org/vocab/unit/MilliMOL-PER-M2-SEC",283,"millimolepermeterquaredpersecond","MilliMOL-PER-M2-SEC"
"year (yyyy)","http://qudt.org/vocab/unit/YR",282,"year(yyyy)","YR"
"individuals per 30 square meters",NA,282,"individualsper30squaremeter","NUM-PER30-M2"
"phi",NA,281,"phi","phi"
"percentage","http://qudt.org/vocab/unit/PERCENT",279,"percent","PERCENT"
"mph","http://qudt.org/vocab/unit/MI-PER-HR",273,"mileperhour","MI-PER-HR"
"w/m2","http://qudt.org/vocab/unit/W-PER-M2",272,"wpermetersquared","W-PER-M2"
"nominalhour",NA,271,"nominalhour","nominal-HR"
