"qudtUri","qudtLabel","qudtDimensionVector","qudtConversionMultiplier","nonLatexDescription","latexDescription"
"http://qudt.org/2.1/vocab/unit","QUDT VOCAB Units of Measure Release 2.1.27",NA,NA,NA,NA
"http://qudt.org/vocab/unit/A","Ampere","http://qudt.org/vocab/dimensionvector/A0E1L0I0M0H0T0D0",1,NA,"The  \(\textit{ampere}\), often shortened to \(\textit{amp}\), is the SI unit of electric current and is one of the seven SI base units.
\(\text{A}\ \equiv\ \text{amp (or ampere)}\ \equiv\ \frac{\text{C}}{\text{s}}\ \equiv\ \frac{\text{coulomb}}{\text{second}}\ \equiv\ \frac{\text{J}}{\text{Wb}}\ \equiv\ \frac{\text{joule}}{\text{weber}}\)
Note that SI supports only the use of symbols and deprecates the use of any abbreviations for units."
"http://qudt.org/vocab/unit/A-HR","Ampere Hour","http://qudt.org/vocab/dimensionvector/A0E1L0I0M0H0T1D0",3600,NA,"\(\textbf{Ampere hour}\) is a practical unit of electric charge equal to the charge flowing in one hour through a conductor passing one ampere. An ampere-hour or amp-hour (symbol \(Ah,\,AHr,\, A \cdot h, A h\)) is a unit of electric charge, with sub-units milliampere-hour (\(mAh\)) and milliampere second (\(mAs\)). One ampere-hour is equal to 3600 coulombs (ampere-seconds), the electric charge transferred by a steady current of one ampere for one hour. The ampere-hour is frequently used in measurements of electrochemical systems such as electroplating and electrical batteries. The commonly seen milliampere-hour (\(mAh\) or \(mA \cdot h\)) is one-thousandth of an ampere-hour (\(3.6 \,coulombs\))."
"http://qudt.org/vocab/unit/A-M2","Ampere Square Meter","http://qudt.org/vocab/dimensionvector/A0E1L2I0M0H0T0D0",1,"The SI unit of electromagnetic moment.",NA
"http://qudt.org/vocab/unit/A-M2-PER-J-SEC","Ampere Square Meter Per Joule Second","http://qudt.org/vocab/dimensionvector/A0E1L0I0M-1H0T1D0",1,"The SI unit of gyromagnetic ratio.",NA
"http://qudt.org/vocab/unit/A-PER-CentiM","Ampere Per Centimeter","http://qudt.org/vocab/dimensionvector/A0E1L-1I0M0H0T0D0",100,NA,NA
"http://qudt.org/vocab/unit/A-PER-CentiM2","Ampere Per Square Centimeter","http://qudt.org/vocab/dimensionvector/A0E1L-2I0M0H0T0D0",10000,NA,NA
"http://qudt.org/vocab/unit/A-PER-DEG_C","Ampere per Degree Celsius","http://qudt.org/vocab/dimensionvector/A0E1L0I0M0H-1T0D0",57.2957795,"A measure used to express how a current is subject to temperature. Originally used in Wien's Law to describe phenomena related to filaments. One use today is to express how a current generator derates with temperature.",NA
"http://qudt.org/vocab/unit/A-PER-GM","Ampere per Gram","http://qudt.org/vocab/dimensionvector/A0E1L0I0M-1H0T0D0",1000,NA,"\(\textbf{Ampere per gram}\) is a practical unit to describe an (applied) current relative to the involved amount of material. This unit is often found in electrochemistry to standardize test conditions and compare various scales of investigated materials."
"http://qudt.org/vocab/unit/A-PER-J","Ampere per Joule","http://qudt.org/vocab/dimensionvector/A0E1L-2I0M-1H0T3D0",1,NA,"The inverse measure of \(joule-per-ampere\) or \(weber\). The measure for the reciprical of magnetic flux."
"http://qudt.org/vocab/unit/A-PER-M","Ampere per Meter","http://qudt.org/vocab/dimensionvector/A0E1L-1I0M0H0T0D0",1,NA,"is the SI unit of magnetic field strength. One ampere per meter is equal to \(\pi/250\) oersteds (\(12.566\, 371\,millioersteds\)) in CGS units. The ampere per meter is also the SI unit of ""magnetization"" in the sense of magnetic dipole moment per unit volume; in this context \(1 A/m = 0.001\,emu\,per\,cubic\,centimeter\)."
