"unit","ucumCode","qudtUnit","qudtUri"
NA,NA,"http://qudt.org/2.1/vocab/unit","http://qudt.org/2.1/vocab/unit"
"A","A","A","http://qudt.org/vocab/unit/A"
"ampere","A","A","http://qudt.org/vocab/unit/A"
"A.h","A.h","A-HR","http://qudt.org/vocab/unit/A-HR"
"A.m2","A.m2","A-M2","http://qudt.org/vocab/unit/A-M2"
"A.m2/(J.s)","A.m2.J-1.s-1","A-M2-PER-J-SEC","http://qudt.org/vocab/unit/A-M2-PER-J-SEC"
"A.m2/(J.s)","A.m2/(J.s)","A-M2-PER-J-SEC","http://qudt.org/vocab/unit/A-M2-PER-J-SEC"
"A.m2.J-1.s-1","A.m2.J-1.s-1","A-M2-PER-J-SEC","http://qudt.org/vocab/unit/A-M2-PER-J-SEC"
"A.m2.J-1.s-1","A.m2/(J.s)","A-M2-PER-J-SEC","http://qudt.org/vocab/unit/A-M2-PER-J-SEC"
"A.cm-1","A.cm-1","A-PER-CentiM","http://qudt.org/vocab/unit/A-PER-CentiM"
"A.cm-2","A.cm-2","A-PER-CentiM2","http://qudt.org/vocab/unit/A-PER-CentiM2"
"A.cm-2","A/cm2","A-PER-CentiM2","http://qudt.org/vocab/unit/A-PER-CentiM2"
"A/cm2","A.cm-2","A-PER-CentiM2","http://qudt.org/vocab/unit/A-PER-CentiM2"
"A/cm2","A/cm2","A-PER-CentiM2","http://qudt.org/vocab/unit/A-PER-CentiM2"
"A.Cel-1","A/Cel","A-PER-DEG_C","http://qudt.org/vocab/unit/A-PER-DEG_C"
"A.Cel-1","A.Cel-1","A-PER-DEG_C","http://qudt.org/vocab/unit/A-PER-DEG_C"
"A/Cel","A/Cel","A-PER-DEG_C","http://qudt.org/vocab/unit/A-PER-DEG_C"
"A/Cel","A.Cel-1","A-PER-DEG_C","http://qudt.org/vocab/unit/A-PER-DEG_C"
"A/J","A/J","A-PER-J","http://qudt.org/vocab/unit/A-PER-J"
"A/J","A.J-1","A-PER-J","http://qudt.org/vocab/unit/A-PER-J"
"A.J-1","A/J","A-PER-J","http://qudt.org/vocab/unit/A-PER-J"
"A.J-1","A.J-1","A-PER-J","http://qudt.org/vocab/unit/A-PER-J"
"A/m","A/m","A-PER-M","http://qudt.org/vocab/unit/A-PER-M"
"A/m","A.m-1","A-PER-M","http://qudt.org/vocab/unit/A-PER-M"
