"qudtUri","qudtLabel","qudtDimensionVector","qudtConversionMultiplier","nonLatexDescription","latexDescription"
"http://qudt.org/vocab/unit","QUDT Vocab Units of Measure Release 3.1.9",NA,NA,NA,NA
"http://qudt.org/vocab/unit/2PiRAD","2pirad","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T0D1",0,NA,NA
"http://qudt.org/vocab/unit/A","安培","http://qudt.org/vocab/dimensionvector/A0E1L0I0M0H0T0D0",1,NA,"$\textit{Ampere}$, often shortened to $\text{amp}$, 
is the SI unit of electric current and is one of the seven SI base units defined as:

$$\text{A} \equiv \frac{\textit{C}}{\textit{s}} 
\equiv \frac{\textit{coulomb}}{\textit{second}} 
\equiv \frac{\text{joule}}{\text{weber}}$$

Note that SI supports only the use of symbols and deprecates the use of any abbreviations for units.
"
"http://qudt.org/vocab/unit/A-HR","Ampere Hour","http://qudt.org/vocab/dimensionvector/A0E1L0I0M0H0T1D0",3600,NA,"$\textit{Ampere Hour}$ is a practical unit of electric charge equal to the charge flowing
   in one hour through a conductor passing one ampere. 
   An ampere-hour or amp-hour (symbol $Ah,\,AHr,\, A \cdot h, A h$) is a unit of electric
    charge, with sub-units milliampere-hour ($mAh$) and milliampere second ($mAs$).
    One ampere-hour is equal to 3600 coulombs (ampere-seconds), the electric charge transferred
     by a steady current of one ampere for one hour. 
    The ampere-hour is frequently used in measurements of electrochemical systems such as
     electroplating and electrical batteries. 
    The commonly seen milliampere-hour ($mAh$ or $mA \cdot h$) is one-thousandth of an
     ampere-hour ($3.6 \,coulombs$).
"
"http://qudt.org/vocab/unit/A-HR-PER-DeciM3","Ampere Hour per Cubic Decimeter","http://qudt.org/vocab/dimensionvector/A0E1L-3I0M0H0T1D0",3600000,NA,"$\textit{Ampere Hour per Cubic Decimetre}$ is the product of the SI base unit ampere
 and the unit hour divided by 0.001-fold of the power of the SI base unit metre with
  the exponent 3.
"
"http://qudt.org/vocab/unit/A-HR-PER-DEG_C","Ampere Hour per Degree Celsius","http://qudt.org/vocab/dimensionvector/A0E1L0I0M0H-1T1D0",3600,NA,"$\textit{Ampere Hour per Degree Celsius}$ is the product of the SI base unit ampere and the unit hour
 divided by the unit degree Celsius.
"
"http://qudt.org/vocab/unit/A-HR-PER-KiloGM","Ampere Hour per Kilogram","http://qudt.org/vocab/dimensionvector/A0E1L0I0M-1H0T1D0",3600,"product of the SI base unit ampere and the unit hour divided by the SI base unit kilogram",NA
"http://qudt.org/vocab/unit/A-HR-PER-M2","Ampere Hour per Square Meter","http://qudt.org/vocab/dimensionvector/A0E1L-2I0M0H0T1D0",3600,"product of the SI base unit ampere and the unit hour divided by the power of the SI base unit metre with the exponent 2",NA
"http://qudt.org/vocab/unit/A-HR-PER-M3","Ampere Hour per Cubic Meter","http://qudt.org/vocab/dimensionvector/A0E1L-3I0M0H0T1D0",3600,"product of the SI base unit ampere and the unit hour divided by the power of the SI base unit metre with the exponent 3",NA
"http://qudt.org/vocab/unit/A-M2","Ampere Square Meter","http://qudt.org/vocab/dimensionvector/A0E1L2I0M0H0T0D0",1,"The SI unit of electromagnetic moment.",NA
"http://qudt.org/vocab/unit/A-M2-PER-J-SEC","Ampere Square Meter per Joule Second","http://qudt.org/vocab/dimensionvector/A0E1L0I0M-1H0T1D0",1,"The SI unit of gyromagnetic ratio.",NA
"http://qudt.org/vocab/unit/A-MIN","Ampere Minute","http://qudt.org/vocab/dimensionvector/A0E1L0I0M0H0T1D0",60,"product of the SI base unit ampere and the unit minute",NA
"http://qudt.org/vocab/unit/A-PER-A-HR","Ampere per Ampere Hour","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0",0.00027777777777777,"SI base unit ampere divided by the SI base unit ampere and the unit hour",NA
"http://qudt.org/vocab/unit/A-PER-CentiM","Ampere per Centimeter","http://qudt.org/vocab/dimensionvector/A0E1L-1I0M0H0T0D0",100,"SI base unit ampere divided by the 0.01-fold of the SI base unit metre",NA
"http://qudt.org/vocab/unit/A-PER-CentiM2","Ampere per Square Centimeter","http://qudt.org/vocab/dimensionvector/A0E1L-2I0M0H0T0D0",10000,"SI base unit ampere divided by the 0.0001-fold  of the power of the SI base unit metre by exponent 2",NA
"http://qudt.org/vocab/unit/A-PER-DEG_C","Ampere pro Grad Celsius","http://qudt.org/vocab/dimensionvector/A0E1L0I0M0H-1T0D0",1,"A measure used to express how a current is subject to temperature. Originally used in Wien's Law to describe phenomena related to filaments. One use today is to express how a current generator derates with temperature.",NA
"http://qudt.org/vocab/unit/A-PER-GM","Ampere pro Gramm","http://qudt.org/vocab/dimensionvector/A0E1L0I0M-1H0T0D0",1000,NA,"$\textit{Ampere per gram}$ is a practical unit to describe an (applied) current relative to the involved amount of material. 
  This unit is often found in electrochemistry to standardize test conditions and compare various scales of investigated materials.
"
"http://qudt.org/vocab/unit/A-PER-J","Amper na Joule","http://qudt.org/vocab/dimensionvector/A0E1L-2I0M-1H0T2D0",1,NA,"$\textit{Ampere per Joule}$ is the inverse measure of $joule-per-ampere$ or $weber$. 
  The measure for the reciprical of magnetic flux.
"
"http://qudt.org/vocab/unit/A-PER-K","Amperio por Kelvin","http://qudt.org/vocab/dimensionvector/A0E1L0I0M0H-1T0D0",1,"SI base unit ampere divided by the SI base unit kelvin",NA
"http://qudt.org/vocab/unit/A-PER-KiloGM","Amper na Kilogram","http://qudt.org/vocab/dimensionvector/A0E1L0I0M-1H0T0D0",1,"SI base unit ampere divided by the SI base unit kilogram",NA
"http://qudt.org/vocab/unit/A-PER-M","Ampere per Meter","http://qudt.org/vocab/dimensionvector/A0E1L-1I0M0H0T0D0",1,NA,"is the SI unit of magnetic field strength. One ampere per meter is equal to $\pi/250$ oersteds ($12.566\, 371\,millioersteds$) in CGS units. The ampere per meter is also the SI unit of ""magnetization"" in the sense of magnetic dipole moment per unit volume; in this context $1 A/m = 0.001\,emu\,per\,cubic\,centimeter$."
"http://qudt.org/vocab/unit/A-PER-M2","Ampere per Square Meter","http://qudt.org/vocab/dimensionvector/A0E1L-2I0M0H0T0D0",1,NA,"$\textit{Ampere Per Square Meter}$ is a unit in the category of electric current density. 
This unit is commonly used in the SI unit system.
"
"http://qudt.org/vocab/unit/A-PER-M2-K2","Ampere per Square Meter Square Kelvin","http://qudt.org/vocab/dimensionvector/A0E1L-2I0M0H-2T0D0",1,NA,NA
"http://qudt.org/vocab/unit/A-PER-MilliM","Ampere per Millimeter","http://qudt.org/vocab/dimensionvector/A0E1L-1I0M0H0T0D0",1000,"SI base unit ampere divided by the 0.001-fold of the SI base unit metre",NA
"http://qudt.org/vocab/unit/A-PER-MilliM2","Ampere per Square Millimeter","http://qudt.org/vocab/dimensionvector/A0E1L-2I0M0H0T0D0",1e+06,"SI base unit ampere divided by the 0.000 001-fold of the power of the SI base unit metre by exponent 2",NA
"http://qudt.org/vocab/unit/A-PER-PA","Amper na Pascal","http://qudt.org/vocab/dimensionvector/A0E1L1I0M-1H0T2D0",1,"SI base unit ampere divided by the SI derived unit pascal",NA
"http://qudt.org/vocab/unit/A-PER-RAD","Ampère par Radian","http://qudt.org/vocab/dimensionvector/A0E1L0I0M0H0T0D0",1,NA,"$\textit{Ampere per Radian}$ is a derived unit for measuring the amount of current per unit measure of angle, expressed in ampere per radian."
"http://qudt.org/vocab/unit/A-SEC","Ampère Seconde","http://qudt.org/vocab/dimensionvector/A0E1L0I0M0H0T1D0",1,"product out of the SI base unit ampere and the SI base unit second",NA
"http://qudt.org/vocab/unit/A-SEC2","Ampere Square Second","http://qudt.org/vocab/dimensionvector/A0E1L0I0M0H0T2D0",1,"product out of the power of the SI base unit ampere and the SI base unit second with the exponent 2",NA
"http://qudt.org/vocab/unit/A_Ab","Abampere","http://qudt.org/vocab/dimensionvector/A0E1L0I0M0H0T0D0",10,NA,"
  The $\textit{Abampere (aA)}$, also called the $biot$ after Jean-Baptiste Biot, is the basic electromagnetic unit of electric current in the emu-cgs system of units (electromagnetic cgs). 
  One $abampere$ is equal to ten amperes in the SI system of units. 
  An $abampere$ is the constant current that produces, when maintained in two parallel conductors of negligible circular section and of infinite length placed 1 centimetre apart,
   a force of 2 dynes per centimetre between the two conductors.
"
"http://qudt.org/vocab/unit/A_Ab-CentiM2","Abampere Square Centimeter","http://qudt.org/vocab/dimensionvector/A0E1L2I0M0H0T0D0",0.001,NA,"
  The unit $\textit{Abampere Square Centimeter}$ is the unit of magnetic moment in the electromagnetic centimeter-gram-second system.
"
"http://qudt.org/vocab/unit/A_Ab-PER-CentiM2","Abampere per Square Centimeter","http://qudt.org/vocab/dimensionvector/A0E1L-2I0M0H0T0D0",1e+05,NA,"
  The unit $\textit{Abampere Per Square Centimeter}$, symbol $aA/cm^2$, is a unit in the category of Electric current density. 
  It is also known as $\textit{abamperes per square centimeter}$, $\textit{abampere/square centimeter}$,
   and $\textit{abampere per square centimetre}$. 
   This unit is commonly used in the cgs unit system.
  $\textit{Abampere Per Square Centimeter}$ has a dimension of $L^{-2}I$ where $L$ is length, and $I$ is electric current. 
  It can be converted to the corresponding standard SI unit $A/m^{2}$ by multiplying its value by a factor of 100000.
"
"http://qudt.org/vocab/unit/A_Stat","Statampere","http://qudt.org/vocab/dimensionvector/A0E1L0I0M0H0T0D0",3.335641e-10,NA,"
  The unit $\textit{Statampere}$, symbol $statA$ is a unit in the category of Electric current. 
  It is also known as statamperes. 
  This unit is commonly used in the cgs unit system. 
  $\textit{Statampere (statA)}$ has a dimension of $I$ where $I$ is electric current. 
  It can be converted to the corresponding standard SI unit $A$ by multiplying its value by a factor of 3.355641E-010.
"
"http://qudt.org/vocab/unit/A_Stat-PER-CentiM2","Statampere per Square Centimeter","http://qudt.org/vocab/dimensionvector/A0E1L-2I0M0H0T0D0",3.335641e-06,NA,"
  The $\textit{Statampere per Square Centimeter}$ is a unit of electric current density in the c.g.s. system of units.
"
"http://qudt.org/vocab/unit/A2-SEC","Ampere Quadrado Segundo","http://qudt.org/vocab/dimensionvector/A0E2L0I0M0H0T1D0",1,"product out of the power of the SI base unit ampere with the exponent 2 and the SI base unit second",NA
"http://qudt.org/vocab/unit/AC","Acre","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T0D0",4046.8564224,"The acre is a unit of area in a number of different systems, including the imperial and U.S. customary systems. Its international symbol is ac. The most commonly used acres today are the international acre and, in the United States, the survey acre. The most common use of the acre is to measure tracts of land. One international acre is equal to 4046.8564224 square metres.",NA
"http://qudt.org/vocab/unit/AC-FT","Acre Foot","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T0D0",1233.48183754752,NA,"An acre-foot is a unit of volume commonly used in the United States in reference to large-scale water resources, such as reservoirs, aqueducts, canals, sewer flow capacity, and river flows. It is defined by the volume of one acre of surface area to a depth of one foot. Since the acre is defined as a chain by a furlong ($66 ft \times 660 ft$) the acre-foot is exactly $43,560 cubic feet$. For irrigation water, the volume of $1 ft \times 1 \; ac = 43,560 \; ft^{3} (1,233.482 \; m^{3}, 325,851 \; US gal)$."
