"qudtUri","ucumCode"
"http://qudt.org/vocab/unit",NA
"http://qudt.org/vocab/unit/2PiRAD",NA
"http://qudt.org/vocab/unit/A","A"
"http://qudt.org/vocab/unit/A-HR","A.h"
"http://qudt.org/vocab/unit/A-HR-PER-DeciM3","A.h.dm-3"
"http://qudt.org/vocab/unit/A-HR-PER-DEG_C","A.h.Cel-1"
"http://qudt.org/vocab/unit/A-HR-PER-KiloGM","A.h.kg-1"
"http://qudt.org/vocab/unit/A-HR-PER-M2","A.h.m-2"
"http://qudt.org/vocab/unit/A-HR-PER-M3","A.h.m-3"
"http://qudt.org/vocab/unit/A-M2","A.m2"
"http://qudt.org/vocab/unit/A-M2-PER-J-SEC","A.m2.J-1.s-1"
"http://qudt.org/vocab/unit/A-MIN","A.min"
"http://qudt.org/vocab/unit/A-PER-A-HR","A.A-1.h-1"
"http://qudt.org/vocab/unit/A-PER-CentiM","A.cm-1"
"http://qudt.org/vocab/unit/A-PER-CentiM2","A.cm-2"
"http://qudt.org/vocab/unit/A-PER-DEG_C","A.Cel-1"
"http://qudt.org/vocab/unit/A-PER-GM","A.g-1"
"http://qudt.org/vocab/unit/A-PER-J","A.J-1"
"http://qudt.org/vocab/unit/A-PER-K","A.K-1"
"http://qudt.org/vocab/unit/A-PER-KiloGM","A.kg-1"
"http://qudt.org/vocab/unit/A-PER-M","A.m-1"
"http://qudt.org/vocab/unit/A-PER-M2","A.m-2"
"http://qudt.org/vocab/unit/A-PER-M2-K2","A.m-2.K-2"
"http://qudt.org/vocab/unit/A-PER-MilliM","A.mm-1"
"http://qudt.org/vocab/unit/A-PER-MilliM2","A.mm-2"
"http://qudt.org/vocab/unit/A-PER-PA","A.Pa-1"
"http://qudt.org/vocab/unit/A-PER-RAD","A.rad-1"
"http://qudt.org/vocab/unit/A-SEC","A.s"
"http://qudt.org/vocab/unit/A-SEC2","A.s2"
"http://qudt.org/vocab/unit/A_Ab","Bi"
"http://qudt.org/vocab/unit/A_Ab-CentiM2","Bi.cm2"
"http://qudt.org/vocab/unit/A_Ab-PER-CentiM2","Bi.cm-2"
"http://qudt.org/vocab/unit/A_Stat",NA
"http://qudt.org/vocab/unit/A_Stat-PER-CentiM2",NA
"http://qudt.org/vocab/unit/A2-SEC","A2.s"
"http://qudt.org/vocab/unit/AC","[acr_br]"
"http://qudt.org/vocab/unit/AC-FT","[acr_br].[ft_i]"
"http://qudt.org/vocab/unit/AC-FT_US","[acr_br].[ft_us]"
"http://qudt.org/vocab/unit/AMU","u"
"http://qudt.org/vocab/unit/ANGSTROM","Ao"
"http://qudt.org/vocab/unit/ANGSTROM3","Ao3"
"http://qudt.org/vocab/unit/ARCMIN","'"
"http://qudt.org/vocab/unit/ARCSEC","''"
"http://qudt.org/vocab/unit/ARE","ar"
"http://qudt.org/vocab/unit/AT",NA
"http://qudt.org/vocab/unit/AT-PER-IN",NA
"http://qudt.org/vocab/unit/AT-PER-M",NA
"http://qudt.org/vocab/unit/ATM","atm"
"http://qudt.org/vocab/unit/ATM-M3-PER-MOL","atm.m3.mol-1"
"http://qudt.org/vocab/unit/ATM-PER-M","atm.m-1"
"http://qudt.org/vocab/unit/ATM_T","att"
"http://qudt.org/vocab/unit/ATM_T-PER-M","att.m-1"
"http://qudt.org/vocab/unit/AttoA","aA"
"http://qudt.org/vocab/unit/AttoC","aC"
"http://qudt.org/vocab/unit/AttoFARAD","aF"
"http://qudt.org/vocab/unit/AttoJ","aJ"
"http://qudt.org/vocab/unit/AttoJ-SEC","aJ.s"
"http://qudt.org/vocab/unit/AttoSEC","as"
"http://qudt.org/vocab/unit/AU","AU"
